"location" "date" "cases" "deaths" "tests"
"1" "Austria" 2020-01-01 0 0 NA
"2" "Austria" 2020-01-02 0 0 NA
"3" "Austria" 2020-01-03 0 0 NA
"4" "Austria" 2020-01-04 0 0 NA
"5" "Austria" 2020-01-05 0 0 NA
"6" "Austria" 2020-01-06 0 0 NA
"7" "Austria" 2020-01-07 0 0 NA
"8" "Austria" 2020-01-08 0 0 NA
"9" "Austria" 2020-01-09 0 0 NA
"10" "Austria" 2020-01-10 0 0 NA
"11" "Austria" 2020-01-11 0 0 NA
"12" "Austria" 2020-01-12 0 0 NA
"13" "Austria" 2020-01-13 0 0 NA
"14" "Austria" 2020-01-14 0 0 NA
"15" "Austria" 2020-01-15 0 0 NA
"16" "Austria" 2020-01-16 0 0 NA
"17" "Austria" 2020-01-17 0 0 NA
"18" "Austria" 2020-01-18 0 0 NA
"19" "Austria" 2020-01-19 0 0 NA
"20" "Austria" 2020-01-20 0 0 NA
"21" "Austria" 2020-01-21 0 0 NA
"22" "Austria" 2020-01-22 0 0 NA
"23" "Austria" 2020-01-23 0 0 NA
"24" "Austria" 2020-01-24 0 0 NA
"25" "Austria" 2020-01-25 0 0 NA
"26" "Austria" 2020-01-26 0 0 NA
"27" "Austria" 2020-01-27 0 0 NA
"28" "Austria" 2020-01-28 0 0 NA
"29" "Austria" 2020-01-29 0 0 NA
"30" "Austria" 2020-01-30 0 0 NA
"31" "Austria" 2020-01-31 0 0 NA
"32" "Austria" 2020-02-01 0 0 NA
"33" "Austria" 2020-02-02 0 0 NA
"34" "Austria" 2020-02-03 0 0 NA
"35" "Austria" 2020-02-04 0 0 NA
"36" "Austria" 2020-02-05 0 0 NA
"37" "Austria" 2020-02-06 0 0 NA
"38" "Austria" 2020-02-07 0 0 NA
"39" "Austria" 2020-02-08 0 0 NA
"40" "Austria" 2020-02-09 0 0 NA
"41" "Austria" 2020-02-10 0 0 NA
"42" "Austria" 2020-02-11 0 0 NA
"43" "Austria" 2020-02-12 0 0 NA
"44" "Austria" 2020-02-13 0 0 NA
"45" "Austria" 2020-02-14 0 0 NA
"46" "Austria" 2020-02-15 0 0 NA
"47" "Austria" 2020-02-16 0 0 NA
"48" "Austria" 2020-02-17 0 0 NA
"49" "Austria" 2020-02-18 0 0 NA
"50" "Austria" 2020-02-19 0 0 NA
"51" "Austria" 2020-02-20 0 0 NA
"52" "Austria" 2020-02-21 0 0 NA
"53" "Austria" 2020-02-22 0 0 NA
"54" "Austria" 2020-02-23 0 0 NA
"55" "Austria" 2020-02-24 0 0 NA
"56" "Austria" 2020-02-25 0 0 0.024
"57" "Austria" 2020-02-26 0.222 0 0.036
"58" "Austria" 2020-02-27 0.222 0 0.05
"59" "Austria" 2020-02-28 0.555 0 0.085
"60" "Austria" 2020-02-29 0.777 0 0.183
"61" "Austria" 2020-03-01 1.11 0 NA
"62" "Austria" 2020-03-02 1.554 0 NA
"63" "Austria" 2020-03-03 1.999 0 0.298
"64" "Austria" 2020-03-04 2.665 0 0.348
"65" "Austria" 2020-03-05 3.22 0 0.412
"66" "Austria" 2020-03-06 4.552 0 0.444
"67" "Austria" 2020-03-07 8.216 0 0.478
"68" "Austria" 2020-03-08 10.992 0 0.501
"69" "Austria" 2020-03-09 11.325 0 0.526
"70" "Austria" 2020-03-10 14.545 0 0.558
"71" "Austria" 2020-03-11 20.208 0 0.595
"72" "Austria" 2020-03-12 27.314 0 0.652
"73" "Austria" 2020-03-13 40.083 0.111 0.731
"74" "Austria" 2020-03-14 55.96 0.111 0.829
"75" "Austria" 2020-03-15 72.726 0.111 0.907
"76" "Austria" 2020-03-16 95.488 0.111 0.943
"77" "Austria" 2020-03-17 112.809 0.333 1.141
"78" "Austria" 2020-03-18 147.895 0.333 1.33
"79" "Austria" 2020-03-19 182.759 0.444 1.524
"80" "Austria" 2020-03-20 243.827 0.666 1.734
"81" "Austria" 2020-03-21 294.124 0.666 2.059
"82" "Austria" 2020-03-22 335.761 0.888 2.373
"83" "Austria" 2020-03-23 403.158 1.777 2.601
"84" "Austria" 2020-03-24 498.09 2.776 3.152
"85" "Austria" 2020-03-25 586.472 3.331 3.598
"86" "Austria" 2020-03-26 653.757 3.775 3.997
"87" "Austria" 2020-03-27 780.445 5.774 4.392
"88" "Austria" 2020-03-28 854.614 7.55 4.747
"89" "Austria" 2020-03-29 920.568 7.55 5.156
"90" "Austria" 2020-03-30 978.526 9.549 5.491
"91" "Austria" 2020-03-31 1067.907 11.991 5.812
"92" "Austria" 2020-04-01 1130.529 14.212 6.203
"93" "Austria" 2020-04-02 1189.265 16.211 10.236
"94" "Austria" 2020-04-03 1235.677 17.543 10.919
"95" "Austria" 2020-04-04 1279.646 18.653 11.562
"96" "Austria" 2020-04-05 1306.404 20.652 12.038
"97" "Austria" 2020-04-06 1330.498 22.651 12.357
"98" "Austria" 2020-04-07 1365.362 24.427 12.795
"99" "Austria" 2020-04-08 1403.446 26.981 13.408
"100" "Austria" 2020-04-09 1439.976 30.312 14.022
"101" "Austria" 2020-04-10 1470.954 32.754 14.961
"102" "Austria" 2020-04-11 1505.596 35.419 15.653
"103" "Austria" 2020-04-12 1533.021 37.418 16.086
"104" "Austria" 2020-04-13 1547.455 38.861 16.479
"105" "Austria" 2020-04-14 1559.225 40.86 16.854
"106" "Austria" 2020-04-15 1580.432 42.636 17.41
"107" "Austria" 2020-04-16 1595.532 43.636 18.078
"108" "Austria" 2020-04-17 1604.193 45.523 18.795
"109" "Austria" 2020-04-18 1621.403 47.855 19.534
"110" "Austria" 2020-04-19 1627.953 49.187 19.902
"111" "Austria" 2020-04-20 1633.283 50.187 20.313
"112" "Austria" 2020-04-21 1641.388 51.297 20.987
"113" "Austria" 2020-04-22 1646.94 51.408 22.406
"114" "Austria" 2020-04-23 1657.044 54.85 22.854
"115" "Austria" 2020-04-24 1663.817 56.404 23.615
"116" "Austria" 2020-04-25 1673.033 56.959 24.548
"117" "Austria" 2020-04-26 1680.361 59.513 25.274
"118" "Austria" 2020-04-27 1686.467 60.179 25.819
"119" "Austria" 2020-04-28 1693.907 60.957 26.601
"120" "Austria" 2020-04-29 1700.346 63.177 27.509
"121" "Austria" 2020-04-30 1705.898 64.399 28.469
"122" "Belgium" 2020-01-01 0 0 NA
"123" "Belgium" 2020-01-02 0 0 NA
"124" "Belgium" 2020-01-03 0 0 NA
"125" "Belgium" 2020-01-04 0 0 NA
"126" "Belgium" 2020-01-05 0 0 NA
"127" "Belgium" 2020-01-06 0 0 NA
"128" "Belgium" 2020-01-07 0 0 NA
"129" "Belgium" 2020-01-08 0 0 NA
"130" "Belgium" 2020-01-09 0 0 NA
"131" "Belgium" 2020-01-10 0 0 NA
"132" "Belgium" 2020-01-11 0 0 NA
"133" "Belgium" 2020-01-12 0 0 NA
"134" "Belgium" 2020-01-13 0 0 NA
"135" "Belgium" 2020-01-14 0 0 NA
"136" "Belgium" 2020-01-15 0 0 NA
"137" "Belgium" 2020-01-16 0 0 NA
"138" "Belgium" 2020-01-17 0 0 NA
"139" "Belgium" 2020-01-18 0 0 NA
"140" "Belgium" 2020-01-19 0 0 NA
